Year,Sex,Age,Population,Age-Group
2003,Females,33,149856,30-34
2004,Females,33,159723,30-34
2005,Females,33,157857,30-34
2006,Females,33,152178,30-34
2007,Females,33,149368,30-34
2008,Females,33,147562,30-34
2009,Females,33,147464,30-34
2010,Females,33,148194,30-34
2011,Females,33,150079,30-34
2012,Females,33,154431,30-34
2013,Females,33,159529,30-34
2014,Females,33,167056,30-34
2015,Females,33,171984,30-34
2016,Females,33,179813,30-34
2017,Females,33,184001,30-34
2018,Females,33,187279,30-34
2019,Females,33,190414,30-34
2020,Females,33,190925,30-34
2021,Females,33,190987,30-34
1971,Females,34,76858,30-34
1972,Females,34,78499,30-34
1973,Females,34,80743,30-34
1974,Females,34,82075,30-34
1975,Females,34,85439,30-34
1976,Females,34,87510,30-34
1977,Females,34,88765,30-34
1978,Females,34,97956,30-34
1979,Females,34,100659,30-34
1980,Females,34,103737,30-34
1981,Females,34,125553,30-34
1982,Females,34,120384,30-34
1983,Females,34,120325,30-34
1984,Females,34,122181,30-34
1985,Females,34,126155,30-34
1986,Females,34,124059,30-34
1987,Females,34,128129,30-34
1988,Females,34,129012,30-34
1989,Females,34,131362,30-34
1990,Females,34,137173,30-34
1991,Females,34,136808,30-34
1992,Females,34,140638,30-34
1993,Females,34,141761,30-34
1994,Females,34,146270,30-34
1995,Females,34,150483,30-34
1996,Females,34,148825,30-34
1997,Females,34,149319,30-34
1998,Females,34,147755,30-34
1999,Females,34,143661,30-34
2000,Females,34,141796,30-34
2001,Females,34,140771,30-34
2002,Females,34,143232,30-34
2003,Females,34,148961,30-34
2004,Females,34,150719,30-34
2005,Females,34,160768,30-34
2006,Females,34,159158,30-34
2007,Females,34,154352,30-34
2008,Females,34,151831,30-34
2009,Females,34,150039,30-34
2010,Females,34,149038,30-34
2011,Females,34,149892,30-34
2012,Females,34,151992,30-34
2013,Females,34,156227,30-34
2014,Females,34,161095,30-34
2015,Females,34,168574,30-34
2016,Females,34,174052,30-34
2017,Females,34,182390,30-34
2018,Females,34,185787,30-34
2019,Females,34,189407,30-34
2020,Females,34,191631,30-34
2021,Females,34,190203,30-34
1971,Females,35,77241,30-34
1972,Females,35,77398,30-34
1973,Females,35,79471,30-34
1974,Females,35,80635,30-34
1975,Females,35,82955,30-34
1976,Females,35,85357,30-34
1977,Females,35,87800,30-34
1978,Females,35,88880,30-34
1979,Females,35,97767,30-34
1980,Females,35,101926,30-34
1981,Females,35,104748,30-34
1982,Females,35,126925,30-34
1983,Females,35,121262,30-34
1984,Females,35,120442,30-34
1985,Females,35,123199,30-34
1986,Females,35,126828,30-34
1987,Females,35,125063,30-34
1988,Females,35,129246,30-34
1989,Females,35,130603,30-34
1990,Females,35,132928,30-34
1991,Females,35,138108,30-34
1992,Females,35,137845,30-34
1993,Females,35,141093,30-34
1994,Females,35,142317,30-34
1995,Females,35,147110,30-34
1996,Females,35,150910,30-34
1997,Females,35,149778,30-34
1998,Females,35,150304,30-34
1999,Females,35,148628,30-34
2000,Females,35,144894,30-34
2001,Females,35,143033,30-34
2002,Females,35,141739,30-34
2003,Females,35,144170,30-34
2004,Females,35,149495,30-34
2005,Females,35,151845,30-34
2006,Females,35,161893,30-34
2007,Females,35,161483,30-34
2008,Females,35,156774,30-34
2009,Females,35,154170,30-34
2010,Females,35,151623,30-34
2011,Females,35,150437,30-34
2012,Females,35,151710,30-34
2013,Females,35,153696,30-34
2014,Females,35,157456,30-34
2015,Females,35,162442,30-34
2016,Females,35,170169,30-34
2017,Females,35,176560,30-34
2018,Females,35,184286,30-34
2019,Females,35,187455,30-34
2020,Females,35,190818,30-34
2021,Females,35,190935,30-34
1971,Females,36,73598,35-39
1972,Females,36,77797,35-39
1973,Females,36,77748,35-39
1974,Females,36,80570,35-39
1975,Females,36,80429,35-39
1976,Females,36,83465,35-39
1977,Females,36,86001,35-39
1978,Females,36,88212,35-39
1979,Females,36,88842,35-39
1980,Females,36,97767,35-39
1981,Females,36,103538,35-39
1982,Females,36,106080,35-39
1983,Females,36,127745,35-39
1984,Females,36,121689,35-39
1985,Females,36,120746,35-39
1986,Females,36,124329,35-39
1987,Females,36,128295,35-39
1988,Females,36,126254,35-39
1989,Females,36,130263,35-39
1990,Females,36,131837,35-39
1991,Females,36,133901,35-39
1992,Females,36,138497,35-39
1993,Females,36,138094,35-39
1994,Females,36,141656,35-39
1995,Females,36,143056,35-39
1996,Females,36,148186,35-39
1997,Females,36,151601,35-39
1998,Females,36,150663,35-39
1999,Females,36,151187,35-39
2000,Females,36,149608,35-39
2001,Females,36,146240,35-39
2002,Females,36,143898,35-39
2003,Females,36,142628,35-39
2004,Females,36,144959,35-39
2005,Females,36,150537,35-39
2006,Females,36,153244,35-39
2007,Females,36,164227,35-39
2008,Females,36,163933,35-39
2009,Females,36,159064,35-39
2010,Females,36,155729,35-39
2011,Females,36,153143,35-39
2012,Females,36,152340,35-39
2013,Females,36,153250,35-39
2014,Females,36,154905,35-39
2015,Females,36,158387,35-39
2016,Females,36,163705,35-39
2017,Females,36,172337,35-39
2018,Females,36,178445,35-39
2019,Females,36,186046,35-39
2020,Females,36,188707,35-39
2021,Females,36,190502,35-39
1971,Females,37,70209,35-39
1972,Females,37,73100,35-39
1973,Females,37,78130,35-39
1974,Females,37,78274,35-39
1975,Females,37,81479,35-39
1976,Females,37,79833,35-39
1977,Females,37,82975,35-39
1978,Females,37,86632,35-39
1979,Females,37,88406,35-39
1980,Females,37,88922,35-39
1981,Females,37,97976,35-39
1982,Females,37,103440,35-39
1983,Females,37,106849,35-39
1984,Females,37,128207,35-39
1985,Females,37,122365,35-39
1986,Females,37,121082,35-39
1987,Females,37,124867,35-39
1988,Females,37,129918,35-39
1989,Females,37,127320,35-39
1990,Females,37,130816,35-39
1991,Females,37,132577,35-39
1992,Females,37,134809,35-39
1993,Females,37,138354,35-39
1994,Females,37,138452,35-39
1995,Females,37,142436,35-39
1996,Females,37,143978,35-39
1997,Females,37,148814,35-39
1998,Females,37,152216,35-39
1999,Females,37,151467,35-39
2000,Females,37,152087,35-39
2001,Females,37,150646,35-39
2002,Females,37,146690,35-39
2003,Females,37,144697,35-39
2004,Females,37,143465,35-39
2005,Females,37,145823,35-39
2006,Females,37,151581,35-39
2007,Females,37,155319,35-39
2008,Females,37,166732,35-39
2009,Females,37,166223,35-39
2010,Females,37,160560,35-39
2011,Females,37,157159,35-39
2012,Females,37,154651,35-39
2013,Females,37,154046,35-39
2014,Females,37,154137,35-39
2015,Females,37,155806,35-39
2016,Females,37,159387,35-39
2017,Females,37,165787,35-39
2018,Females,37,174194,35-39
2019,Females,37,180209,35-39
2020,Females,37,187513,35-39
2021,Females,37,188295,35-39
1971,Females,38,72459,35-39
1972,Females,38,70793,35-39
1973,Females,38,72416,35-39
1974,Females,38,78703,35-39
1975,Females,38,78583,35-39
1976,Females,38,82159,35-39
1977,Females,38,80478,35-39
1978,Females,38,82338,35-39
1979,Females,38,87178,35-39
1980,Females,38,88753,35-39
1981,Females,38,89309,35-39
1982,Females,38,99246,35-39
1983,Females,38,103114,35-39
1984,Females,38,107317,35-39
1985,Females,38,128757,35-39
1986,Females,38,123090,35-39
1987,Females,38,122311,35-39
1988,Females,38,125370,35-39
1989,Females,38,131465,35-39
1990,Females,38,128182,35-39
1991,Females,38,130987,35-39
1992,Females,38,133715,35-39
1993,Females,38,135045,35-39
1994,Females,38,138299,35-39
1995,Females,38,139013,35-39
1996,Females,38,143385,35-39
1997,Females,38,145129,35-39
1998,Females,38,149416,35-39
1999,Females,38,152772,35-39
2000,Females,38,152259,35-39
2001,Females,38,153148,35-39
2002,Females,38,151382,35-39
2003,Females,38,147254,35-39
2004,Females,38,145206,35-39
2005,Females,38,144375,35-39
2006,Females,38,146766,35-39
2007,Females,38,153678,35-39
2008,Females,38,157482,35-39
2009,Females,38,168996,35-39
2010,Females,38,167723,35-39
2011,Females,38,161766,35-39
2012,Females,38,158797,35-39
2013,Females,38,156006,35-39
2014,Females,38,155198,35-39
2015,Females,38,154842,35-39
2016,Females,38,156690,35-39
2017,Females,38,161417,35-39
2018,Females,38,167259,35-39
2019,Females,38,175962,35-39
2020,Females,38,181624,35-39
2021,Females,38,187663,35-39
1971,Females,39,72643,35-39
1972,Females,39,72446,35-39
1973,Females,39,71198,35-39
1974,Females,39,71883,35-39
1975,Females,39,79044,35-39
1976,Females,39,78783,35-39
1977,Females,39,81411,35-39
1978,Females,39,81162,35-39
1979,Females,39,81644,35-39
1980,Females,39,87837,35-39
1981,Females,39,89323,35-39
1982,Females,39,90308,35-39
1983,Females,39,100121,35-39
1984,Females,39,102318,35-39
1985,Females,39,107949,35-39
1986,Females,39,129617,35-39
1987,Females,39,123734,35-39
1988,Females,39,123688,35-39
1989,Females,39,126063,35-39
1990,Females,39,132715,35-39
1991,Females,39,128586,35-39
1992,Females,39,131974,35-39
1993,Females,39,134391,35-39
1994,Females,39,135430,35-39
1995,Females,39,138470,35-39
1996,Females,39,139963,35-39
1997,Females,39,144136,35-39
1998,Females,39,146164,35-39
1999,Females,39,149922,35-39
2000,Females,39,153253,35-39
2001,Females,39,153088,35-39
2002,Females,39,154039,35-39
2003,Females,39,152186,35-39
2004,Females,39,147733,35-39
2005,Females,39,145928,35-39
2006,Females,39,145392,35-39
2007,Females,39,148516,35-39
2008,Females,39,155887,35-39
2009,Females,39,159556,35-39
2010,Females,39,170604,35-39
2011,Females,39,169201,35-39
2012,Females,39,163523,35-39
2013,Females,39,160258,35-39
2014,Females,39,156855,35-39
2015,Females,39,156164,35-39
2016,Females,39,155643,35-39
2017,Females,39,158345,35-39
2018,Females,39,163224,35-39
2019,Females,39,168507,35-39
2020,Females,39,177504,35-39
2021,Females,39,181748,35-39
1971,Females,40,80437,35-39
1972,Females,40,72388,35-39
1973,Females,40,72218,35-39
1974,Females,40,71715,35-39
1975,Females,40,71158,35-39
1976,Females,40,79152,35-39
1977,Females,40,78116,35-39
1978,Females,40,80782,35-39
1979,Females,40,81648,35-39
1980,Females,40,81089,35-39
1981,Females,40,88689,35-39
1982,Females,40,89711,35-39
1983,Females,40,90957,35-39
1984,Females,40,100752,35-39
1985,Females,40,101733,35-39
1986,Females,40,108737,35-39
1987,Females,40,129135,35-39
1988,Females,40,124566,35-39
1989,Females,40,125184,35-39
1990,Females,40,126266,35-39
1991,Females,40,133555,35-39
1992,Females,40,128750,35-39
1993,Females,40,132498,35-39
1994,Females,40,135119,35-39
1995,Females,40,136073,35-39
1996,Females,40,138839,35-39
1997,Females,40,140203,35-39
1998,Females,40,144683,35-39
1999,Females,40,147144,35-39
2000,Females,40,150476,35-39
2001,Females,40,153965,35-39
2002,Females,40,153966,35-39
2003,Females,40,154885,35-39
2004,Females,40,152759,35-39
2005,Females,40,148280,35-39
2006,Females,40,146740,35-39
2007,Females,40,146840,35-39
2008,Females,40,150437,35-39
2009,Females,40,157921,35-39
2010,Females,40,160907,35-39
2011,Females,40,172268,35-39
2012,Females,40,170735,35-39
2013,Females,40,164827,35-39
2014,Females,40,161398,35-39
2015,Females,40,157407,35-39
2016,Females,40,157153,35-39
2017,Females,40,157352,35-39
2018,Females,40,159775,35-39
2019,Females,40,164801,35-39
2020,Females,40,169768,35-39
2021,Females,40,177931,35-39
1971,Females,41,73521,40-44
1972,Females,41,80089,40-44
1973,Females,41,71956,40-44
1974,Females,41,72103,40-44
1975,Females,41,72049,40-44
1976,Females,41,70297,40-44
1977,Females,41,78487,40-44
1978,Females,41,77485,40-44
1979,Females,41,80004,40-44
1980,Females,41,82253,40-44
1981,Females,41,80737,40-44
1982,Females,41,88846,40-44
1983,Females,41,89660,40-44
1984,Females,41,91413,40-44
1985,Females,41,101409,40-44
1986,Females,41,101288,40-44
1987,Females,41,109802,40-44
1988,Females,41,128608,40-44
1989,Females,41,125330,40-44
1990,Females,41,126253,40-44
1991,Females,41,126248,40-44
1992,Females,41,133117,40-44
1993,Females,41,128597,40-44
1994,Females,41,133197,40-44
1995,Females,41,136082,40-44
1996,Females,41,136801,40-44
1997,Females,41,139416,40-44
1998,Females,41,140208,40-44
1999,Females,41,145174,40-44
2000,Females,41,148013,40-44
2001,Females,41,151104,40-44
2002,Females,41,154608,40-44
2003,Females,41,154628,40-44
2004,Females,41,155471,40-44
2005,Females,41,153514,40-44
2006,Females,41,149044,40-44
2007,Females,41,147889,40-44
2008,Females,41,148355,40-44
2009,Females,41,152106,40-44
2010,Females,41,159379,40-44
2011,Females,41,162190,40-44
2012,Females,41,173915,40-44
2013,Females,41,171983,40-44
2014,Females,41,165712,40-44
2015,Females,41,162189,40-44
2016,Females,41,157994,40-44
2017,Females,41,158283,40-44
2018,Females,41,158685,40-44
2019,Females,41,161094,40-44
2020,Females,41,166369,40-44
2021,Females,41,169978,40-44
1971,Females,42,78541,40-44
1972,Females,42,74226,40-44
1973,Females,42,79621,40-44
1974,Females,42,71569,40-44
1975,Females,42,71900,40-44
1976,Females,42,72262,40-44
1977,Females,42,70514,40-44
1978,Females,42,77751,40-44
1979,Females,42,76769,40-44
1980,Females,42,79300,40-44
1981,Females,42,82980,40-44
1982,Females,42,81471,40-44
1983,Females,42,88586,40-44
1984,Females,42,89540,40-44
1985,Females,42,92009,40-44
1986,Females,42,102216,40-44
1987,Females,42,102552,40-44
1988,Females,42,110901,40-44
1989,Females,42,128312,40-44
1990,Females,42,125745,40-44
1991,Females,42,126972,40-44
1992,Females,42,126777,40-44
1993,Females,42,132318,40-44
1994,Females,42,128392,40-44
1995,Females,42,133984,40-44
1996,Females,42,137250,40-44
1997,Females,42,137268,40-44
1998,Females,42,139906,40-44
1999,Females,42,140234,40-44
2000,Females,42,145611,40-44
2001,Females,42,149028,40-44
2002,Females,42,151423,40-44
2003,Females,42,155157,40-44
2004,Females,42,155211,40-44
2005,Females,42,156067,40-44
2006,Females,42,154243,40-44
2007,Females,42,150098,40-44
2008,Females,42,149051,40-44
2009,Females,42,149586,40-44
2010,Females,42,153224,40-44
2011,Females,42,160747,40-44
2012,Females,42,163468,40-44
2013,Females,42,175138,40-44
2014,Females,42,172781,40-44
2015,Females,42,166446,40-44
2016,Females,42,162954,40-44
2017,Females,42,159346,40-44
2018,Females,42,159119,40-44
2019,Females,42,159749,40-44
2020,Females,42,162405,40-44
2021,Females,42,166909,40-44
1971,Females,43,78765,40-44
1972,Females,43,77907,40-44
1973,Females,43,74779,40-44
1974,Females,43,79182,40-44
1975,Females,43,71047,40-44
1976,Females,43,71510,40-44
1977,Females,43,71721,40-44
1978,Females,43,70763,40-44
1979,Females,43,77046,40-44
1980,Females,43,76142,40-44
1981,Females,43,78647,40-44
1982,Females,43,82782,40-44
1983,Females,43,81876,40-44
1984,Females,43,88259,40-44
1985,Females,43,89450,40-44
1986,Females,43,92604,40-44
1987,Females,43,102128,40-44
1988,Females,43,103807,40-44
1989,Females,43,112007,40-44
1990,Females,43,127538,40-44
1991,Females,43,125893,40-44
1992,Females,43,126453,40-44
1993,Females,43,126975,40-44
1994,Females,43,131608,40-44
1995,Females,43,128352,40-44
1996,Females,43,134927,40-44
1997,Females,43,136874,40-44
1998,Females,43,137603,40-44
1999,Females,43,140252,40-44
2000,Females,43,140069,40-44
2001,Females,43,146106,40-44
2002,Females,43,149253,40-44
2003,Females,43,151756,40-44
2004,Females,43,155384,40-44
2005,Females,43,155918,40-44
2006,Females,43,156847,40-44
2007,Females,43,155030,40-44
2008,Females,43,151155,40-44
2009,Females,43,149990,40-44
2010,Females,43,150333,40-44
2011,Females,43,154234,40-44
2012,Females,43,161901,40-44
2013,Females,43,164415,40-44
2014,Females,43,176035,40-44
2015,Females,43,173338,40-44
2016,Females,43,167200,40-44
2017,Females,43,163815,40-44
2018,Females,43,160441,40-44
2019,Females,43,159702,40-44
2020,Females,43,160952,40-44
2021,Females,43,162562,40-44
1971,Females,44,76186,40-44
1972,Females,44,78763,40-44
1973,Females,44,77196,40-44
1974,Females,44,75458,40-44
1975,Females,44,78594,40-44
1976,Females,44,70373,40-44
1977,Females,44,71379,40-44
1978,Females,44,71091,40-44
1979,Females,44,71027,40-44
1980,Females,44,76391,40-44
1981,Females,44,75570,40-44
1982,Females,44,78947,40-44
1983,Females,44,82333,40-44
1984,Females,44,82213,40-44
1985,Females,44,87882,40-44
1986,Females,44,89370,40-44
1987,Females,44,92254,40-44
1988,Females,44,102133,40-44
1989,Females,44,105085,40-44
1990,Females,44,112953,40-44
1991,Females,44,126465,40-44
1992,Females,44,126098,40-44
1993,Females,44,125745,40-44
1994,Females,44,127154,40-44
1995,Females,44,131024,40-44
1996,Females,44,128424,40-44
1997,Females,44,134886,40-44
1998,Females,44,136490,40-44
1999,Females,44,137819,40-44
2000,Females,44,140570,40-44
2001,Females,44,140040,40-44
2002,Females,44,146209,40-44
2003,Females,44,149296,40-44
2004,Females,44,151934,40-44
2005,Females,44,155619,40-44
2006,Females,44,156605,40-44
2007,Females,44,157541,40-44
2008,Females,44,155773,40-44
2009,Females,44,152010,40-44
2010,Females,44,150405,40-44
2011,Females,44,151057,40-44
2012,Females,44,155639,40-44
2013,Females,44,162843,40-44
2014,Females,44,165061,40-44
2015,Females,44,176582,40-44
2016,Females,44,173835,40-44
2017,Females,44,167975,40-44
2018,Females,44,164362,40-44
2019,Females,44,161254,40-44
2020,Females,44,160357,40-44
2021,Females,44,161231,40-44
1971,Females,45,80034,40-44
1972,Females,45,76422,40-44
1973,Females,45,78670,40-44
1974,Females,45,76578,40-44
1975,Females,45,75981,40-44
1976,Females,45,77827,40-44
1977,Females,45,70459,40-44
1978,Females,45,71167,40-44
1979,Females,45,70547,40-44
1980,Females,45,71300,40-44
1981,Females,45,75830,40-44
1982,Females,45,76318,40-44
1983,Females,45,79108,40-44
1984,Females,45,81812,40-44
1985,Females,45,82588,40-44
1986,Females,45,87616,40-44
1987,Females,45,89663,40-44
1988,Females,45,91959,40-44
1989,Females,45,102059,40-44
1990,Females,45,106138,40-44
1991,Females,45,113571,40-44
1992,Females,45,126999,40-44
1993,Females,45,126083,40-44
1994,Females,45,125076,40-44
1995,Females,45,127433,40-44
1996,Females,45,130597,40-44
1997,Females,45,129144,40-44
1998,Females,45,134760,40-44
1999,Females,45,135949,40-44
2000,Females,45,138032,40-44
2001,Females,45,141104,40-44
2002,Females,45,140794,40-44
2003,Females,45,146396,40-44
2004,Females,45,149167,40-44
2005,Females,45,152170,40-44
2006,Females,45,155785,40-44
2007,Females,45,157212,40-44
2008,Females,45,158199,40-44
2009,Females,45,156321,40-44
2010,Females,45,152475,40-44
2011,Females,45,150860,40-44
2012,Females,45,152023,40-44
2013,Females,45,156662,40-44
2014,Females,45,163326,40-44
2015,Females,45,165357,40-44
2016,Females,45,177107,40-44
2017,Females,45,174646,40-44
2018,Females,45,168505,40-44
2019,Females,45,164800,40-44
2020,Females,45,162212,40-44
2021,Females,45,160326,40-44
1971,Females,46,79682,45-49
1972,Females,46,80370,45-49
1973,Females,46,76551,45-49
1974,Females,46,78635,45-49
1975,Females,46,75837,45-49
1976,Females,46,76357,45-49
1977,Females,46,78078,45-49
1978,Females,46,70537,45-49
1979,Females,46,70906,45-49
1980,Females,46,69995,45-49
1981,Females,46,71699,45-49
1982,Females,46,76398,45-49
1983,Females,46,76819,45-49
1984,Females,46,79068,45-49
1985,Females,46,81447,45-49
1986,Females,46,83037,45-49
1987,Females,46,88116,45-49
1988,Females,46,89986,45-49
1989,Females,46,91690,45-49
1990,Females,46,101795,45-49
1991,Females,46,106942,45-49
1992,Females,46,112393,45-49
1993,Females,46,127278,45-49
1994,Females,46,126017,45-49
1995,Females,46,124540,45-49
1996,Females,46,127833,45-49
1997,Females,46,131164,45-49
1998,Females,46,129776,45-49
1999,Females,46,134493,45-49
2000,Females,46,135268,45-49
2001,Females,46,138329,45-49
2002,Females,46,141414,45-49
2003,Females,46,141544,45-49
2004,Females,46,146365,45-49
2005,Females,46,149003,45-49
2006,Females,46,152365,45-49
2007,Females,46,156548,45-49
2008,Females,46,157765,45-49
2009,Females,46,158618,45-49
2010,Females,46,156573,45-49
2011,Females,46,152792,45-49
2012,Females,46,151906,45-49
2013,Females,46,152950,45-49
2014,Females,46,157354,45-49
2015,Females,46,163648,45-49
2016,Females,46,165787,45-49
2017,Females,46,177599,45-49
2018,Females,46,175141,45-49
2019,Females,46,168873,45-49
2020,Females,46,165384,45-49
2021,Females,46,162318,45-49
1971,Females,47,76461,45-49
1972,Females,47,78652,45-49
1973,Females,47,80576,45-49
1974,Females,47,76750,45-49
1975,Females,47,78518,45-49
1976,Females,47,74970,45-49
1977,Females,47,75673,45-49
1978,Females,47,78328,45-49
1979,Females,47,70567,45-49
1980,Females,47,70727,45-49
1981,Females,47,69495,45-49
1982,Females,47,71400,45-49
1983,Females,47,76858,45-49
1984,Females,47,77231,45-49
1985,Females,47,79088,45-49
1986,Females,47,81016,45-49
1987,Females,47,83024,45-49
1988,Females,47,88461,45-49
1989,Females,47,90252,45-49
1990,Females,47,91139,45-49
1991,Females,47,101356,45-49
1992,Females,47,106689,45-49
1993,Females,47,111051,45-49
1994,Females,47,127617,45-49
1995,Females,47,126055,45-49
1996,Females,47,123986,45-49
1997,Females,47,128401,45-49
1998,Females,47,131569,45-49
1999,Females,47,130294,45-49
2000,Females,47,134185,45-49
2001,Females,47,134680,45-49
2002,Females,47,138465,45-49
2003,Females,47,141573,45-49
2004,Females,47,142065,45-49
2005,Females,47,146366,45-49
2006,Females,47,148673,45-49
2007,Females,47,152653,45-49
2008,Females,47,157141,45-49
2009,Females,47,158154,45-49
2010,Females,47,158778,45-49
2011,Females,47,156716,45-49
2012,Females,47,153342,45-49
2013,Females,47,152674,45-49
2014,Females,47,153394,45-49
2015,Females,47,157884,45-49
2016,Females,47,163993,45-49
2017,Females,47,165965,45-49
2018,Females,47,177892,45-49
2019,Females,47,175492,45-49
2020,Females,47,169492,45-49
2021,Females,47,165126,45-49
1971,Females,48,77475,45-49
1972,Females,48,76687,45-49
1973,Females,48,77569,45-49
1974,Females,48,80926,45-49
1975,Females,48,76835,45-49
1976,Females,48,78240,45-49
1977,Females,48,75147,45-49
1978,Females,48,75070,45-49
1979,Females,48,78512,45-49
1980,Females,48,70631,45-49
1981,Females,48,70569,45-49
1982,Females,48,69926,45-49
1983,Females,48,70967,45-49
1984,Females,48,77250,45-49
1985,Females,48,77703,45-49
1986,Females,48,79229,45-49
1987,Females,48,81411,45-49
1988,Females,48,83046,45-49
1989,Females,48,88864,45-49
1990,Females,48,90419,45-49
1991,Females,48,90392,45-49
1992,Females,48,101310,45-49
1993,Females,48,106334,45-49
1994,Females,48,109751,45-49
1995,Females,48,127986,45-49
1996,Females,48,126204,45-49
1997,Females,48,124702,45-49
1998,Females,48,128912,45-49
1999,Females,48,131768,45-49
2000,Females,48,130754,45-49
2001,Females,48,133945,45-49
2002,Females,48,134859,45-49
2003,Females,48,138453,45-49
2004,Females,48,141481,45-49
2005,Females,48,142677,45-49
2006,Females,48,146193,45-49
2007,Females,48,149205,45-49
2008,Females,48,152972,45-49
2009,Females,48,157698,45-49
2010,Females,48,158341,45-49
2011,Females,48,158875,45-49
2012,Females,48,157544,45-49
2013,Females,48,153647,45-49
2014,Females,48,153160,45-49
2015,Females,48,153630,45-49
2016,Females,48,158402,45-49
2017,Females,48,164091,45-49
2018,Females,48,166076,45-49
2019,Females,48,177985,45-49
2020,Females,48,176088,45-49
2021,Females,48,169145,45-49
1971,Females,49,76618,45-49
1972,Females,49,77192,45-49
1973,Females,49,76717,45-49
1974,Females,49,76551,45-49
1975,Females,49,81126,45-49
1976,Females,49,76799,45-49
1977,Females,49,77854,45-49
1978,Females,49,75398,45-49
1979,Females,49,74368,45-49
1980,Females,49,78767,45-49
1981,Females,49,70741,45-49
1982,Females,49,70773,45-49
1983,Females,49,70212,45-49
1984,Females,49,70545,45-49
1985,Females,49,77666,45-49
1986,Females,49,78193,45-49
1987,Females,49,79511,45-49
1988,Females,49,81799,45-49
1989,Females,49,83055,45-49
1990,Females,49,89150,45-49
1991,Females,49,90386,45-49
1992,Females,49,90675,45-49
1993,Females,49,101170,45-49
1994,Females,49,105933,45-49
1995,Females,49,108505,45-49
1996,Females,49,128536,45-49
1997,Females,49,126321,45-49
1998,Females,49,125357,45-49
1999,Females,49,129215,45-49
2000,Females,49,131968,45-49
2001,Females,49,131280,45-49
2002,Females,49,134093,45-49
2003,Females,49,134951,45-49
2004,Females,49,138254,45-49
2005,Females,49,141390,45-49
2006,Females,49,143124,45-49
2007,Females,49,146534,45-49
2008,Females,49,149742,45-49
2009,Females,49,153204,45-49
2010,Females,49,158070,45-49
2011,Females,49,158447,45-49
2012,Females,49,159434,45-49
2013,Females,49,158111,45-49
2014,Females,49,153754,45-49
2015,Females,49,153629,45-49
2016,Females,49,153973,45-49
2017,Females,49,158236,45-49
2018,Females,49,164067,45-49
2019,Females,49,166047,45-49
2020,Females,49,178393,45-49
2021,Females,49,175818,45-49
1971,Females,50,79806,45-49
1972,Females,50,76466,45-49
1973,Females,50,76869,45-49
1974,Females,50,76784,45-49
1975,Females,50,75365,45-49
1976,Females,50,81209,45-49
1977,Females,50,76418,45-49
1978,Females,50,77405,45-49
1979,Females,50,75574,45-49
1980,Females,50,73734,45-49
1981,Females,50,79029,45-49
1982,Females,50,70688,45-49
1983,Females,50,70893,45-49
1984,Females,50,70486,45-49
1985,Females,50,70176,45-49
1986,Females,50,78063,45-49
1987,Females,50,78237,45-49
1988,Females,50,79761,45-49
1989,Females,50,82240,45-49
1990,Females,50,82939,45-49
1991,Females,50,89327,45-49
1992,Females,50,90185,45-49
1993,Females,50,90828,45-49
1994,Females,50,101121,45-49
1995,Females,50,105687,45-49
1996,Females,50,107313,45-49
1997,Females,50,128779,45-49
1998,Females,50,126398,45-49
1999,Females,50,125761,45-49
2000,Females,50,129467,45-49
2001,Females,50,132267,45-49
2002,Females,50,131016,45-49
2003,Females,50,134273,45-49
2004,Females,50,134816,45-49
2005,Females,50,138050,45-49
2006,Females,50,141318,45-49
2007,Females,50,143360,45-49
2008,Females,50,146881,45-49
2009,Females,50,150251,45-49
2010,Females,50,153292,45-49
2011,Females,50,158425,45-49
2012,Females,50,158844,45-49
2013,Females,50,159852,45-49
2014,Females,50,158560,45-49
2015,Females,50,153684,45-49
2016,Females,50,153931,45-49
2017,Females,50,153952,45-49
2018,Females,50,157948,45-49
2019,Females,50,163991,45-49
2020,Females,50,166406,45-49
2021,Females,50,177859,45-49
1971,Females,51,66987,50-54
1972,Females,51,78600,50-54
1973,Females,51,76292,50-54
1974,Females,51,76524,50-54
1975,Females,51,76769,50-54
1976,Females,51,74069,50-54
1977,Females,51,80156,50-54
1978,Females,51,75981,50-54
1979,Females,51,76923,50-54
1980,Females,51,75787,50-54
1981,Females,51,73161,50-54
1982,Females,51,78323,50-54
1983,Females,51,70423,50-54
1984,Females,51,70943,50-54
1985,Females,51,70828,50-54
1986,Females,51,69733,50-54
1987,Females,51,77750,50-54
1988,Females,51,78314,50-54
1989,Females,51,80060,50-54
1990,Females,51,82552,50-54
1991,Females,51,82616,50-54
1992,Females,51,88691,50-54
1993,Females,51,89897,50-54
1994,Females,51,91011,50-54
1995,Females,51,101071,50-54
1996,Females,51,105472,50-54
1997,Females,51,107730,50-54
1998,Females,51,128961,50-54
1999,Females,51,126335,50-54
2000,Females,51,126124,50-54
2001,Females,51,129721,50-54
2002,Females,51,131629,50-54
2003,Females,51,130780,50-54
2004,Females,51,134197,50-54
2005,Females,51,134837,50-54
2006,Females,51,137806,50-54
2007,Females,51,141454,50-54
2008,Females,51,143586,50-54
2009,Females,51,147227,50-54
2010,Females,51,150580,50-54
2011,Females,51,153354,50-54
2012,Females,51,158728,50-54
2013,Females,51,159124,50-54
2014,Females,51,160062,50-54
2015,Females,51,158827,50-54
2016,Females,51,153514,50-54
